"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21159","Calculation Testing | Scenario=S13 | Mode=Cash | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 14:36:42 IST 2025","passed","Thu Sep 25 14:37:03 IST 2025","TestCalculations","Calculation_test","",""
"","18641","Calculation Testing | Scenario=S11 | Mode=Debit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 13:33:50 IST 2025","passed","Thu Sep 25 13:34:08 IST 2025","TestCalculations","Calculation_test","",""
"","20498","Calculation Testing | Scenario=S17 | Mode=BHIM UPI QR | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 17:19:45 IST 2025","broken","Thu Sep 25 17:20:05 IST 2025","TestCalculations","Calculation_test","",""
"","36954","Calculation Testing | Scenario=S14 | Mode=RTGS | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 14:59:19 IST 2025","broken","Thu Sep 25 14:59:56 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","17497","Calculation Testing | Scenario=S1 | Mode=Wallet | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 10:28:06 IST 2025","passed","Thu Sep 25 10:28:23 IST 2025","TestCalculations","Calculation_test","",""
"","18655","Calculation Testing | Scenario=S12 | Mode=Credit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 13:50:20 IST 2025","passed","Thu Sep 25 13:50:39 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","18229","Calculation Testing | Scenario=S1 | Mode=Credit Card | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 10:21:50 IST 2025","passed","Thu Sep 25 10:22:09 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","18165","Calculation Testing | Scenario=S1 | Mode=NEFT/RTGS | Slab=1001-5000 | Amount=1200","testCases","Thu Sep 25 10:25:44 IST 2025","passed","Thu Sep 25 10:26:03 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","18544","Calculation Testing | Scenario=S5 | Mode=RuPay Credit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 11:29:05 IST 2025","passed","Thu Sep 25 11:29:24 IST 2025","TestCalculations","Calculation_test","",""
"","17375","Calculation Testing | Scenario=S6 | Mode=UPI INTENT | Slab=1-1000 | Amount=100","testCases","Thu Sep 25 12:27:22 IST 2025","passed","Thu Sep 25 12:27:39 IST 2025","TestCalculations","Calculation_test","",""
"","19524","Calculation Testing | Scenario=S17 | Mode=UPI | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 17:22:17 IST 2025","broken","Thu Sep 25 17:22:36 IST 2025","TestCalculations","Calculation_test","",""
"Test the cancel transaction button functionality.","18217","Calculation Testing | Scenario=S3 | Mode=Debit Card | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 10:49:32 IST 2025","passed","Thu Sep 25 10:49:50 IST 2025","TestCalculations","Calculation_test","",""
"","18473","Calculation Testing | Scenario=S11 | Mode=RuPay Card | Slab=5001-10000 | Amount=6000","testCases","Thu Sep 25 13:43:18 IST 2025","passed","Thu Sep 25 13:43:36 IST 2025","TestCalculations","Calculation_test","",""
